Time,Height(m),Leak Rate (L/hr),Daily Leak Volume (L)
2022-02-26 00:03:27+00:00,5.16,0.014700000000000121,0.10567870833333362
2022-02-26 00:22:18+00:00,5.25,0.03675000000000009,0.3623886875000003
2022-02-26 00:41:09+00:00,5.3,0.049000000000000044,1.0133843125000006
2022-02-26 01:00:00+00:00,5.32,0.053900000000000156,1.7377115000000012
2022-02-26 01:20:18+00:00,5.3,0.049000000000000044,2.305213166666667
2022-02-26 01:40:36+00:00,5.25,0.03675000000000009,2.640194520833334
2022-02-26 02:00:54+00:00,5.16,0.014700000000000121,2.7207005000000004
2022-02-26 02:21:12+00:00,5.05,0.0,2.580736083333334
2022-02-26 02:41:30+00:00,4.9,0.0,2.239128500000001
2022-02-26 03:01:48+00:00,4.73,0.0,1.7309433750000007
2022-02-26 03:22:06+00:00,4.54,0.0,1.128443458333334
2022-02-26 03:42:24+00:00,4.33,0.0,0.5004380208333339
2022-02-26 04:02:42+00:00,4.11,0.0,0.0315988750000002
2022-02-26 04:23:00+00:00,3.89,0.0,0.0
2022-02-26 04:43:18+00:00,3.67,0.0,0.0
2022-02-26 05:03:36+00:00,3.45,0.0,0.0
2022-02-26 05:23:54+00:00,3.24,0.0,0.10684041666666685
2022-02-26 05:44:12+00:00,3.05,0.0,0.5703569375000006
2022-02-26 06:04:30+00:00,2.88,0.0,1.1231708541666672
2022-02-26 06:24:48+00:00,2.73,0.0,1.6268643125000006
2022-02-26 06:45:06+00:00,2.62,0.0,2.0411409375000007
2022-02-26 07:05:24+00:00,2.53,0.0,2.356074145833334
2022-02-26 07:25:42+00:00,2.48,0.0,2.5584033125000016
2022-02-26 07:46:00+00:00,2.46,0.0,2.5731502708333345
2022-02-26 08:04:18+00:00,2.48,0.0,2.327947125
2022-02-26 08:22:36+00:00,2.53,0.0,1.783203916666667
2022-02-26 08:40:54+00:00,2.61,0.0,0.9958096458333338
2022-02-26 08:59:12+00:00,2.72,0.0,0.24639547916666715
2022-02-26 09:17:30+00:00,2.86,0.0,0.02048812500000017
2022-02-26 09:35:48+00:00,3.02,0.0,0.008021708333333448
2022-02-26 09:54:06+00:00,3.21,0.0,0.3458940625000004
2022-02-26 10:12:24+00:00,3.41,0.0,1.0533795416666674
